,site_name,address,city,long,lat,county,hours
529,7-Eleven 15429 E,276 N Whisman Rd,Mountain View,-122.05981000000001,37.396606,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
530,7-Eleven 14219B,615 Old San Francisco Rd,Sunnyvale,-122.02221000000002,37.367199,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
531,7-Eleven #27244 E,1039 Sunnyvale Saratoga Rd,Sunnyvale,-122.03245,37.35857,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
532,7-Eleven 22914 F,3110 Senter Rd,San Jose,-121.83391999999999,37.294121000000004,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
533,7-Eleven 14292 E,4270 Senter Rd,San Jose,-121.82338999999999,37.2803,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
534,Selam Market,2294 S Bascom Ave,Campbell,-121.93151999999999,37.281689,Santa Clara,"Monday: 10:00 AM – 9:00 PM
Tuesday: 10:00 AM – 9:00 PM
Wednesday: 10:00 AM – 9:00 PM
Thursday: 10:00 AM – 9:00 PM
Friday: 10:00 AM – 9:00 PM
Saturday: 10:00 AM – 9:00 PM
Sunday: 10:00 AM – 9:00 PM"
535,Quick Shop Market,395 N Fair Oaks Ave,Sunnyvale,-122.01795,37.383202000000004,Santa Clara,"Monday: 6:00 AM – 11:00 PM
Tuesday: 6:00 AM – 11:00 PM
Wednesday: 6:00 AM – 11:00 PM
Thursday: 6:00 AM – 11:00 PM
Friday: 7:00 AM – 12:00 AM
Saturday: 7:00 AM – 12:00 AM
Sunday: 7:00 AM – 12:00 AM"
536,Cupertino Market,19725 Stevens Creek Blvd,Cupertino,-122.01795,37.32304,Santa Clara,"Monday: 8:00 AM – 7:30 PM
Tuesday: 8:00 AM – 7:30 PM
Wednesday: 8:00 AM – 7:30 PM
Thursday: 8:00 AM – 7:30 PM
Friday: 8:00 AM – 7:30 PM
Saturday: 8:00 AM – 7:30 PM
Sunday: 8:00 AM – 7:30 PM"
537,Chevron 2217,7110 Camino Arroyo,Gilroy,-121.55236000000001,37.006554,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
538,Los Gatos Farmers Market,1 N. Santa Cruz Ave & Main St,Los Gatos,-121.98388,37.222542,Santa Clara,"Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: Closed
Friday: Closed
Saturday: Closed
Sunday: 9:00 AM – 1:00 PM"
