# ----------------------------------------
# All Web Site Data
# Browser & OS
# 20200601-20200814
# ----------------------------------------

Operating System,Date,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
iOS,20200809,2,1,2,50.00%,1.00,00:00:00,0.00%,0,$0.00
Linux,20200724,2,2,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Linux,20200727,2,2,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Linux,20200729,2,2,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Linux,20200730,2,2,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Macintosh,20200726,2,0,2,50.00%,1.00,00:01:20,0.00%,0,$0.00
Macintosh,20200801,2,0,2,50.00%,1.00,00:05:02,0.00%,0,$0.00
Windows,20200620,2,0,2,50.00%,1.50,00:10:25,0.00%,0,$0.00
Windows,20200622,2,2,2,50.00%,1.00,00:00:01,0.00%,0,$0.00
Windows,20200626,2,0,2,0.00%,1.50,00:02:16,0.00%,0,$0.00
Windows,20200704,2,0,2,50.00%,1.00,00:00:00,0.00%,0,$0.00
Windows,20200711,2,1,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Windows,20200718,2,2,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Windows,20200721,2,1,2,50.00%,0.50,00:00:11,0.00%,0,$0.00
Windows,20200730,2,0,2,50.00%,1.00,00:00:08,0.00%,0,$0.00
Windows,20200802,2,2,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Windows,20200806,2,2,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
(not set),20200630,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Android,20200610,1,1,1,0.00%,1.00,00:00:28,0.00%,0,$0.00
Android,20200612,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Android,20200615,1,1,1,0.00%,1.00,00:01:22,0.00%,0,$0.00
Android,20200618,1,1,1,0.00%,1.00,00:06:39,0.00%,0,$0.00
Android,20200620,1,0,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Android,20200621,1,0,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Android,20200712,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Android,20200714,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Android,20200720,1,1,1,0.00%,1.00,00:00:35,0.00%,0,$0.00
Android,20200723,1,1,1,0.00%,1.00,00:03:22,0.00%,0,$0.00
Android,20200725,1,1,1,0.00%,1.00,00:00:34,0.00%,0,$0.00
Android,20200726,1,0,2,0.00%,1.00,00:00:00,0.00%,0,$0.00
Android,20200729,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Android,20200801,1,1,1,0.00%,1.00,00:02:29,0.00%,0,$0.00
Android,20200802,1,1,1,0.00%,1.00,00:00:26,0.00%,0,$0.00
Android,20200804,1,1,2,0.00%,1.50,00:02:21,0.00%,0,$0.00
